strategy,instrument,fast_tf,trade_side,entry_ist,entry_price,exit_ist,exit_price,exit_reason,open_signal_ist,open_signal_side,open_parity,open_detail,close_signal_ist,close_signal_side,close_parity,close_detail,link_ok
silver_01,SILVERM,15m,SHORT,2026-08-26 11:50:00,254079.0,2026-08-26 18:05:00,253084.0,long_reversal,2026-08-26 11:30:00,SHORT,OK,close=254147.0000 htf=254182.0000 mid=254299.0000 fast=254299.0000 pre_close=254503.0000 pre_htf=254182.0000 pre_mid=254299.0000,2026-08-26 18:00:00,NONE,OK,close=252832.0000 htf=253098.3540 mid=252761.1907 fast=252761.1907 pre_close=253499.0000 pre_htf=253098.3540 pre_mid=252761.1907,True
silver_01,SILVERM,15m,LONG,2026-08-26 18:15:00,253501.0,2026-08-26 18:15:00,252831.0,stop_loss_hit,2026-08-26 17:45:00,LONG,OK,close=253499.0000 htf=253098.3540 mid=252761.1907 fast=252761.1907 pre_close=252893.0000 pre_htf=253098.3540 pre_mid=252419.9813,2026-08-26 18:15:00,NONE,OK,close=251850.0000 htf=253098.3540 mid=252761.1907 fast=252761.1907 pre_close=252832.0000 pre_htf=253098.3540 pre_mid=252761.1907,True
silver_01,SILVERM,15m,LONG,2026-08-27 10:40:00,249751.0,2026-08-28 09:20:00,248051.0,short_reversal,2026-08-27 10:15:00,LONG,OK,close=249558.0000 htf=249031.9013 mid=248805.2393 fast=248805.2393 pre_close=247492.0000 pre_htf=249031.9013 pre_mid=248805.2393,2026-08-28 09:15:00,NONE,OK,close=248130.0000 htf=249031.9013 mid=248789.1290 fast=248789.1290 pre_close=248096.0000 pre_htf=249031.9013 pre_mid=249135.9544,True
silver_01,SILVERM,15m,LONG,2026-08-28 12:15:00,249372.0,2026-08-28 19:50:00,250644.0,short_reversal,2026-08-28 11:45:00,LONG,OK,close=249294.0000 htf=249031.9013 mid=248677.5828 fast=248677.5828 pre_close=248476.0000 pre_htf=249031.9013 pre_mid=248677.5828,2026-08-28 19:45:00,NONE,OK,close=249341.0000 htf=252163.5720 mid=251150.9630 fast=251150.9630 pre_close=250111.0000 pre_htf=252163.5720 pre_mid=252306.0785,True
silver_01,SILVERM,15m,SHORT,2026-08-28 20:00:00,250009.0,OPEN,,OPEN,2026-08-28 19:30:00,SHORT,OK,close=250111.0000 htf=252163.5720 mid=252306.0785 fast=252306.0785 pre_close=253400.0000 pre_htf=252163.5720 pre_mid=252858.3267,NA,NA,NA,NA,True
silver_02,SILVERM,5m,SHORT,2026-08-26 11:45:00,254124.0,2026-08-26 11:45:00,254148.0,stop_loss_hit,2026-08-26 11:40:00,SHORT,OK,close=254147.0000 htf=254182.0000 mid=254299.0000 fast=254495.9451 pre_close=254309.0000 pre_htf=254182.0000 pre_mid=254299.0000,2026-08-26 11:45:00,NONE,OK,close=253659.0000 htf=254182.0000 mid=254299.0000 fast=254119.9632 pre_close=254147.0000 pre_htf=254182.0000 pre_mid=254299.0000,True
silver_02,SILVERM,5m,SHORT,2026-08-26 11:50:00,254079.0,2026-08-26 18:05:00,253501.0,long_reversal,2026-08-26 11:40:00,SHORT,OK,close=254147.0000 htf=254182.0000 mid=254299.0000 fast=254495.9451 pre_close=254309.0000 pre_htf=254182.0000 pre_mid=254299.0000,2026-08-26 18:05:00,NONE,OK,close=253000.0000 htf=253098.3540 mid=252761.1907 fast=253095.6012 pre_close=253083.0000 pre_htf=253098.3540 pre_mid=252761.1907,True
silver_02,SILVERM,5m,LONG,2026-08-26 18:05:00,253501.0,2026-08-26 18:05:00,253082.0,stop_loss_hit,2026-08-26 17:55:00,LONG,OK,close=253499.0000 htf=253098.3540 mid=252761.1907 fast=253095.6012 pre_close=253050.0000 pre_htf=253098.3540 pre_mid=252419.9813,2026-08-26 18:05:00,NONE,OK,close=253000.0000 htf=253098.3540 mid=252761.1907 fast=253095.6012 pre_close=253083.0000 pre_htf=253098.3540 pre_mid=252761.1907,True
silver_02,SILVERM,5m,LONG,2026-08-27 09:05:00,250096.0,2026-08-27 09:50:00,248999.0,stop_loss_hit,2026-08-27 09:00:00,LONG,OK,close=250939.0000 htf=249709.0372 mid=248805.2393 fast=249722.5974 pre_close=248925.0000 pre_htf=249709.0372 pre_mid=248805.2393,2026-08-27 09:50:00,NONE,OK,close=247871.0000 htf=249709.0372 mid=248805.2393 fast=248776.4357 pre_close=249000.0000 pre_htf=249709.0372 pre_mid=248805.2393,True
silver_02,SILVERM,5m,LONG,2026-08-27 10:30:00,249523.0,2026-08-27 18:20:00,247228.0,stop_loss_hit,2026-08-27 10:20:00,LONG,OK,close=249422.0000 htf=249031.9013 mid=248805.2393 fast=248030.9673 pre_close=247950.0000 pre_htf=249031.9013 pre_mid=248805.2393,2026-08-27 18:20:00,NONE,OK,close=247589.0000 htf=249031.9013 mid=248191.3936 fast=247622.1745 pre_close=247229.0000 pre_htf=249031.9013 pre_mid=248191.3936,True
silver_02,SILVERM,5m,LONG,2026-08-27 21:25:00,249751.0,2026-08-28 03:35:00,248262.0,stop_loss_hit,2026-08-27 21:10:00,LONG,OK,close=249269.0000 htf=249031.9013 mid=248281.1314 fast=248715.4041 pre_close=248914.0000 pre_htf=249031.9013 pre_mid=248037.3973,2026-08-28 03:35:00,NONE,OK,close=247970.0000 htf=249031.9013 mid=249253.8154 fast=248501.1716 pre_close=248263.0000 pre_htf=249031.9013 pre_mid=249253.8154,True
silver_02,SILVERM,5m,SHORT,2026-08-28 03:45:00,247854.0,2026-08-28 06:50:00,250564.0,stop_loss_hit,2026-08-28 03:30:00,SHORT,OK,close=248263.0000 htf=249031.9013 mid=249253.8154 fast=249000.4356 pre_close=249246.0000 pre_htf=249031.9013 pre_mid=249253.8154,2026-08-28 06:50:00,NONE,OK,close=250959.0000 htf=249031.9013 mid=249253.8154 fast=250245.0104 pre_close=250563.0000 pre_htf=249031.9013 pre_mid=249253.8154,True
silver_02,SILVERM,5m,SHORT,2026-08-28 09:15:00,247854.0,2026-08-28 12:05:00,249268.0,long_reversal,2026-08-28 09:00:00,SHORT,OK,close=248263.0000 htf=249031.9013 mid=249253.8154 fast=250300.0148 pre_close=252000.0000 pre_htf=249031.9013 pre_mid=249253.8154,2026-08-28 12:05:00,LONG,OK,close=249113.0000 htf=249031.9013 mid=248677.5828 fast=248858.3752 pre_close=248968.0000 pre_htf=249031.9013 pre_mid=248677.5828,True
silver_02,SILVERM,5m,LONG,2026-08-28 12:05:00,249372.0,2026-08-28 19:40:00,251797.0,short_reversal,2026-08-28 12:05:00,LONG,OK,close=249113.0000 htf=249031.9013 mid=248677.5828 fast=248858.3752 pre_close=248968.0000 pre_htf=249031.9013 pre_mid=248677.5828,2026-08-28 19:40:00,NONE,OK,close=250111.0000 htf=252163.5720 mid=252306.0785 fast=251494.9658 pre_close=251511.0000 pre_htf=252163.5720 pre_mid=252858.3267,True
silver_02,SILVERM,5m,SHORT,2026-08-28 19:40:00,251649.0,OPEN,,OPEN,2026-08-28 19:30:00,SHORT,OK,close=251650.0000 htf=252163.5720 mid=252858.3267 fast=252987.5271 pre_close=253400.0000 pre_htf=252163.5720 pre_mid=252858.3267,NA,NA,NA,NA,True
