component,instrument,sub,rows,valid,first_ist,last_ist,bars,bars15,bars1h,bars_compared,mismatches,strategy,fill_id,bar_ist,bar_tf,side,qty,kind,reason,entry P&L-input(driver),price_saved,price_model,orders,fills,closed_trades,open_positions,entry_price,exit_price,multiplier,exit_reason,gross_expected,gross_saved,charges_expected,charges_saved,net_expected,net_saved,acct_realized,sum_own_nets,entry_day,exit_day,nights
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,254150.0,254903.0,5.0,stop_loss_hit,-3765.0,-3765.0,255.37,255.37,-4020.37,-4020.37,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,SHORT,1.0,,,,,,,,,,254500.0,255499.0,5.0,stop_loss_hit,-4995.0,-4995.0,255.69,255.69,-5250.69,-5250.69,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,254500.0,255000.0,5.0,stop_loss_hit,-2500.0,-2500.0,255.61,255.61,-2755.61,-2755.61,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,SHORT,1.0,,,,,,,,,,254451.0,254853.0,5.0,stop_loss_hit,-2010.0,-2010.0,255.56,255.56,-2265.56,-2265.56,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,254451.0,255147.0,5.0,stop_loss_hit,-3480.0,-3480.0,255.6,255.6,-3735.6,-3735.6,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,SHORT,1.0,,,,,,,,,,255397.0,253001.0,5.0,long_reversal,11980.0,11980.0,255.89,255.89,11724.11,11724.11,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,255397.0,253001.0,5.0,long_reversal,11980.0,11980.0,255.89,255.89,11724.11,11724.11,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,253333.0,252123.0,5.0,stop_loss_hit,-6050.0,-6050.0,253.78,253.78,-6303.78,-6303.78,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,LONG,1.0,,,,,,,,,,253333.0,251243.0,5.0,stop_loss_hit,-10450.0,-10450.0,253.2,253.2,-10703.2,-10703.2,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,LONG,1.0,,,,,,,,,,252149.0,253167.0,5.0,short_reversal,5090.0,5090.0,254.28,254.28,4835.72,4835.72,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,251897.0,253167.0,5.0,short_reversal,6350.0,6350.0,254.24,254.24,6095.76,6095.76,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,253025.0,253600.0,5.0,stop_loss_hit,-2875.0,-2875.0,254.42,254.42,-3129.42,-3129.42,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,SHORT,1.0,,,,,,,,,,253025.0,253500.0,5.0,long_reversal,-2375.0,-2375.0,254.4,254.4,-2629.4,-2629.4,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,LONG,1.0,,,,,,,,,,253500.0,252832.0,5.0,stop_loss_hit,-3340.0,-3340.0,254.27,254.27,-3594.27,-3594.27,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,253201.0,253500.0,5.0,long_reversal,-1495.0,-1495.0,254.52,254.52,-1749.52,-1749.52,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,253500.0,253083.0,5.0,stop_loss_hit,-2085.0,-2085.0,254.44,254.44,-2339.44,-2339.44,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,249522.0,247229.0,5.0,stop_loss_hit,-11465.0,-11465.0,249.95,249.95,-11714.95,-11714.95,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,249750.0,248263.0,5.0,stop_loss_hit,-7435.0,-7435.0,250.66,250.66,-7685.66,-7685.66,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,LONG,1.0,,,,,,,,,,249750.0,248098.0,5.0,short_reversal,-8260.0,-8260.0,250.56,250.56,-8510.56,-8510.56,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,SHORT,1.0,,,,,,,,,,247855.0,249267.0,5.0,long_reversal,-7060.0,-7060.0,250.32,250.32,-7310.32,-7310.32,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_02,,,,LONG,1.0,,,,,,,,,,249371.0,251798.0,5.0,short_reversal,12135.0,12135.0,252.94,252.94,11882.06,11882.06,,,,,
pnl/trade,SILVERM,,,PASS,,,,,,,,silver_01,,,,LONG,1.0,,,,,,,,,,249371.0,250132.0,5.0,short_reversal,3805.0,3805.0,251.84,251.84,3553.16,3553.16,,,,,
pnl/account,SILVERM,,,PASS,,,,,,,,silver_01,,,,,,,,,,,,,,,,,,,,,,,,,-12840.69,-12840.69,,,
pnl/account,SILVERM,,,PASS,,,,,,,,silver_02,,,,,,,,,,,,,,,,,,,,,,,,,-21042.74,-21042.74,,,
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_01,,,,,,,,,,,,,,,255397.0,253001.0,,long_reversal,,,,,,,,,2026-08-24,2026-08-25,1.0
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_01,,,,,,,,,,,,,,,252149.0,253167.0,,short_reversal,,,,,,,,,2026-08-25,2026-08-26,1.0
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_01,,,,,,,,,,,,,,,249750.0,248098.0,,short_reversal,,,,,,,,,2026-08-27,2026-08-28,1.0
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_02,,,,,,,,,,,,,,,255397.0,253001.0,,long_reversal,,,,,,,,,2026-08-24,2026-08-25,1.0
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_02,,,,,,,,,,,,,,,251897.0,253167.0,,short_reversal,,,,,,,,,2026-08-25,2026-08-26,1.0
carry/no-eod,SILVERM,,,PASS,,,,,,,,silver_02,,,,,,,,,,,,,,,249750.0,248263.0,,stop_loss_hit,,,,,,,,,2026-08-27,2026-08-28,1.0
