run,instrument,side,entry_time,ref_entry,live_entry,entry_diff,ref_trigger,live_fill_is_trigger,exit_time,live_exit_time,ref_exit,live_exit,exit_diff,ref_reason,live_reason,ref_net,live_net,ref_gross,live_gross,ref_fees,live_fees
B_production,SILVERM,LONG,2026-08-25 21:00,252029,252149,-120,252149,1,2026-08-26 12:00,2026-08-26 11:45,253167,253116,51,bear_reversal,short_reversal,5435.74,4825.72,5690.00,5080.00,254.26,254.28
B_production,SILVERM,SHORT,2026-08-26 12:00,253167,253025,142,253025,1,2026-08-26 18:00,2026-08-26 17:45,253500,253499,1,bull_reversal,long_reversal,-1919.66,-2639.40,-1665.00,-2385.00,254.66,254.40
B_production,SILVERM,LONG,2026-08-27 10:30,249566,249750,-184,249750,1,2026-08-28 09:15,2026-08-28 19:30,248098,250111,-2013,bear_reversal,short_reversal,-7590.53,-3604.27,-7340.00,-3350.00,250.53,254.27
B_production,SILVERM,SHORT,2026-08-24 10:15,254499,-,-,254149,0,2026-08-24 10:45,-,254500,-,-,stop_loss_hit,-,-260.53,-,-5.00,-,255.53,-
B_production,SILVERM,SHORT,2026-08-24 11:00,254349,-,-,254500,0,2026-08-24 11:30,-,255499,-,-,stop_loss_hit,-,-6006.17,-,-5750.00,-,256.17,-
B_production,SILVERM,SHORT,2026-08-24 13:45,254461,-,-,254451,0,2026-08-24 16:00,-,254853,-,-,stop_loss_hit,-,-2215.76,-,-1960.00,-,255.76,-
B_production,SILVERM,LONG,2026-08-25 12:00,253001,-,-,253333,0,2026-08-25 13:30,-,251243,-,-,stop_loss_hit,-,-9043.15,-,-8790.00,-,253.15,-
B_production,SILVERM,LONG,2026-08-26 18:00,253500,-,-,253500,0,2026-08-26 18:00,-,252832,-,-,stop_loss_hit,-,-3594.27,-,-3340.00,-,254.27,-
B_production,SILVERM,LONG,2026-08-28 12:00,249267,-,-,249371,0,2026-08-28 19:45,-,250132,-,-,bear_reversal,-,4073.18,-,4325.00,-,251.82,-
C_matched,GOLDM,LONG,2026-08-24 10:45,162054,162068,-14,162068,1,2026-08-24 14:00,2026-08-24 13:45,161814,161850,-36,bear_reversal,short_reversal,-2712.20,-2872.20,-2400.00,-2560.00,312.20,312.20
C_matched,GOLDM,SHORT,2026-08-24 22:30,162394,162300,94,162300,1,2026-08-25 12:00,2026-08-25 11:45,162452,162452,0,bull_reversal,long_reversal,-893.15,-1852.96,-580.00,-1540.00,313.15,312.96
C_matched,GOLDM,SHORT,2026-08-25 22:45,161470,161449,21,161449,1,2026-08-26 09:00,2026-08-26 09:00,161771,161771,0,stop_loss_hit,stop_loss_hit,-3321.96,-3551.63,-3010.00,-3240.00,311.96,311.63
C_matched,GOLDM,LONG,2026-08-27 10:30,158624,158664,-40,158664,1,2026-08-27 23:00,2026-08-27 22:45,158167,158180,-13,bear_reversal,short_reversal,-4876.30,-4471.04,-4570.00,-4160.00,306.30,311.04
C_matched,GOLDM,SHORT,2026-08-28 09:00,156987,158074,-1087,158074,1,2026-08-28 12:30,2026-08-28 19:30,158305,158351,-46,bull_reversal,short_reversal,-13485.96,-5296.31,-13180.00,-4990.00,305.96,306.31
C_matched,GOLDM,LONG,2026-08-26 18:00,161471,-,-,161490,0,2026-08-26 18:00,-,161076,-,-,stop_loss_hit,-,-4261.04,-,-3950.00,-,311.04,-
C_matched,GOLDM,LONG,2026-08-28 12:45,158228,-,-,158400,0,2026-08-28 19:45,-,158342,-,-,bear_reversal,-,833.60,-,1140.00,-,306.40,-
C_matched,SILVERM,SHORT,2026-08-24 11:00,254349,254500,-151,254500,1,2026-08-24 11:30,2026-08-24 16:00,255499,254853,646,stop_loss_hit,stop_loss_hit,-6006.17,-5260.69,-5750.00,-5005.00,256.17,255.69
C_matched,SILVERM,SHORT,2026-08-24 19:15,255421,255397,24,255397,1,2026-08-25 12:00,2026-08-25 11:45,253001,253002,-1,bull_reversal,long_reversal,11845.31,-2275.56,12100.00,-2020.00,254.69,255.56
C_matched,SILVERM,LONG,2026-08-25 12:00,253001,253333,-332,253333,1,2026-08-25 13:30,2026-08-25 13:30,251243,251243,0,stop_loss_hit,stop_loss_hit,-9043.15,11714.11,-8790.00,11970.00,253.15,255.89
C_matched,SILVERM,LONG,2026-08-25 21:00,252029,252149,-120,252149,1,2026-08-26 12:00,2026-08-26 11:45,253167,253116,51,bear_reversal,short_reversal,5435.74,-10713.20,5690.00,-10460.00,254.26,253.20
C_matched,SILVERM,SHORT,2026-08-26 12:00,253167,253025,142,253025,1,2026-08-26 18:00,2026-08-26 17:45,253500,253499,1,bull_reversal,long_reversal,-1919.66,4825.72,-1665.00,5080.00,254.66,254.28
C_matched,SILVERM,LONG,2026-08-27 10:30,249566,249750,-184,249750,1,2026-08-28 09:15,2026-08-28 09:00,248098,248096,2,bear_reversal,short_reversal,-7590.53,-2639.40,-7340.00,-2385.00,250.53,254.40
C_matched,SILVERM,LONG,2026-08-28 12:00,249267,249371,-104,249371,1,2026-08-28 19:45,2026-08-28 19:30,250132,250111,21,bear_reversal,short_reversal,4073.18,-3604.27,4325.00,-3350.00,251.82,254.27
C_matched,SILVERM,SHORT,2026-08-24 10:15,254499,-,-,254149,0,2026-08-24 10:45,-,254500,-,-,stop_loss_hit,-,-260.53,-,-5.00,-,255.53,-
C_matched,SILVERM,SHORT,2026-08-24 13:45,254461,-,-,254451,0,2026-08-24 16:00,-,254853,-,-,stop_loss_hit,-,-2215.76,-,-1960.00,-,255.76,-
C_matched,SILVERM,LONG,2026-08-26 18:00,253500,-,-,253500,0,2026-08-26 18:00,-,252832,-,-,stop_loss_hit,-,-3594.27,-,-3340.00,-,254.27,-
