datetime,open,high,low,close,volume
2026-08-03T09:15:00+0530,143689.0,143818.0,143650.0,143818.0,119
2026-08-03T09:30:00+0530,143818.0,143970.0,143805.0,143827.0,151
2026-08-03T09:45:00+0530,143827.0,143966.0,143827.0,143910.0,111
2026-08-03T10:00:00+0530,143910.0,144053.0,143910.0,144011.0,211
2026-08-03T10:15:00+0530,144011.0,144020.0,143798.0,143798.0,104
2026-08-03T10:30:00+0530,143798.0,143820.0,143680.0,143699.0,85
2026-08-03T10:45:00+0530,143699.0,143844.0,143647.0,143785.0,132
2026-08-03T11:00:00+0530,143785.0,143930.0,143736.0,143906.0,85
2026-08-03T11:15:00+0530,143906.0,143959.0,143735.0,143905.0,105
2026-08-03T11:30:00+0530,143905.0,143980.0,143872.0,143875.0,159
2026-08-03T11:45:00+0530,143875.0,144000.0,143871.0,143971.0,262
2026-08-03T12:00:00+0530,143971.0,144006.0,143866.0,143882.0,233
2026-08-03T12:15:00+0530,143882.0,143968.0,143880.0,143968.0,70
2026-08-03T12:30:00+0530,143968.0,144100.0,143887.0,143897.0,261
2026-08-03T12:45:00+0530,143875.0,143946.0,143751.0,143946.0,224
2026-08-03T13:00:00+0530,143946.0,144009.0,143873.0,143901.0,318
2026-08-03T13:15:00+0530,143901.0,144001.0,143901.0,143939.0,201
2026-08-03T13:30:00+0530,143939.0,143955.0,143848.0,143924.0,37
2026-08-03T13:45:00+0530,143924.0,143924.0,143742.0,143742.0,50
2026-08-03T14:00:00+0530,143742.0,143818.0,143700.0,143764.0,103
2026-08-03T14:15:00+0530,143764.0,143817.0,143729.0,143801.0,36
2026-08-03T14:30:00+0530,143801.0,143975.0,143801.0,143931.0,153
2026-08-03T14:45:00+0530,143930.0,143968.0,143761.0,143841.0,114
2026-08-03T15:00:00+0530,143841.0,143841.0,143637.0,143669.0,244
2026-08-03T15:15:00+0530,143669.0,143868.0,143669.0,143780.0,114
2026-08-03T15:30:00+0530,143780.0,143867.0,143731.0,143776.0,24
2026-08-03T15:45:00+0530,143776.0,143800.0,143746.0,143795.0,31
2026-08-03T16:00:00+0530,143795.0,143800.0,143677.0,143687.0,92
2026-08-03T16:15:00+0530,143687.0,143717.0,143631.0,143665.0,78
2026-08-03T16:30:00+0530,143665.0,143747.0,143448.0,143470.0,309
2026-08-03T16:45:00+0530,143470.0,143591.0,143470.0,143530.0,112
2026-08-03T17:00:00+0530,143530.0,143693.0,143530.0,143680.0,46
2026-08-03T17:15:00+0530,143680.0,143940.0,143680.0,143930.0,230
2026-08-03T17:30:00+0530,143930.0,143955.0,143727.0,143760.0,75
2026-08-03T17:45:00+0530,143760.0,143785.0,143600.0,143602.0,87
