datetime,open,high,low,close,volume
2026-08-03T10:00:00+0530,226050.0,226641.0,225416.0,225645.0,384
2026-08-03T11:00:00+0530,225645.0,226326.0,224800.0,225775.0,346
2026-08-03T12:00:00+0530,225775.0,225867.0,224900.0,225314.0,172
2026-08-03T13:00:00+0530,225314.0,225800.0,225202.0,225417.0,98
2026-08-03T14:00:00+0530,225417.0,226098.0,225400.0,225555.0,185
2026-08-03T15:00:00+0530,225555.0,225894.0,225335.0,225660.0,129
2026-08-03T16:00:00+0530,225660.0,225670.0,225133.0,225430.0,163
2026-08-03T17:00:00+0530,225430.0,225643.0,224589.0,224606.0,222
2026-08-03T18:00:00+0530,224606.0,224606.0,222025.0,222441.0,1401
2026-08-03T19:00:00+0530,222441.0,223500.0,222053.0,223126.0,624
2026-08-03T20:00:00+0530,223126.0,223804.0,222850.0,223255.0,417
2026-08-03T21:00:00+0530,223255.0,223865.0,223255.0,223700.0,164
2026-08-03T22:00:00+0530,223700.0,224178.0,223691.0,223994.0,278
2026-08-03T23:00:00+0530,223994.0,224104.0,223845.0,223859.0,118
2026-08-04T09:00:00+0530,227319.0,227319.0,225501.0,226171.0,1092
2026-08-04T10:00:00+0530,226171.0,226543.0,225801.0,226423.0,584
2026-08-04T11:00:00+0530,226423.0,226999.0,226151.0,226444.0,399
2026-08-04T12:00:00+0530,226444.0,226565.0,226050.0,226473.0,161
2026-08-04T13:00:00+0530,226473.0,226689.0,226301.0,226334.0,88
2026-08-04T14:00:00+0530,226334.0,226368.0,225475.0,226194.0,276
2026-08-04T15:00:00+0530,226194.0,226212.0,225816.0,225852.0,99
2026-08-04T16:00:00+0530,225852.0,226787.0,225810.0,226787.0,314
2026-08-04T17:00:00+0530,226787.0,228256.0,226632.0,228255.0,911
2026-08-04T18:00:00+0530,228255.0,228800.0,227605.0,228535.0,633
2026-08-04T19:00:00+0530,228535.0,228790.0,228056.0,228122.0,425
2026-08-04T20:00:00+0530,228122.0,228300.0,227322.0,227779.0,266
2026-08-04T21:00:00+0530,227779.0,228441.0,227779.0,228400.0,176
2026-08-04T22:00:00+0530,228400.0,228750.0,228153.0,228574.0,280
2026-08-04T23:00:00+0530,228574.0,229000.0,227635.0,228490.0,234
2026-08-05T09:00:00+0530,231555.0,232437.0,230039.0,230550.0,1273
2026-08-05T10:00:00+0530,230550.0,230990.0,230149.0,230971.0,283
2026-08-05T11:00:00+0530,231040.0,232943.0,231040.0,232364.0,1011
2026-08-05T12:00:00+0530,232364.0,233500.0,232364.0,232817.0,706
2026-08-05T13:00:00+0530,232817.0,233300.0,232406.0,232632.0,307
2026-08-05T14:00:00+0530,232632.0,232891.0,232352.0,232422.0,181
2026-08-05T15:00:00+0530,232422.0,233082.0,231730.0,232066.0,406
2026-08-05T16:00:00+0530,232066.0,233000.0,231636.0,232839.0,392
2026-08-05T17:00:00+0530,232839.0,234566.0,232839.0,233800.0,815
2026-08-05T18:00:00+0530,233800.0,234131.0,232751.0,233800.0,605
2026-08-05T19:00:00+0530,233800.0,235100.0,233233.0,234633.0,1050
2026-08-05T20:00:00+0530,234633.0,234800.0,234000.0,234579.0,548
2026-08-05T21:00:00+0530,234579.0,234700.0,233322.0,234146.0,460
2026-08-05T22:00:00+0530,234146.0,234223.0,233783.0,234008.0,180
2026-08-05T23:00:00+0530,234008.0,234297.0,233994.0,234150.0,265
2026-08-06T09:00:00+0530,234017.0,235199.0,233413.0,234498.0,792
2026-08-06T10:00:00+0530,234498.0,234850.0,233200.0,233355.0,340
2026-08-06T11:00:00+0530,233355.0,234400.0,232309.0,233499.0,765
2026-08-06T12:00:00+0530,233499.0,233941.0,232775.0,233750.0,204
2026-08-06T13:00:00+0530,233750.0,233883.0,233138.0,233743.0,71
2026-08-06T14:00:00+0530,233743.0,234921.0,233653.0,234542.0,325
2026-08-06T15:00:00+0530,234542.0,234560.0,233803.0,234174.0,174
2026-08-06T16:00:00+0530,234174.0,234174.0,233429.0,233854.0,181
2026-08-06T17:00:00+0530,233854.0,233996.0,233175.0,233401.0,240
2026-08-06T18:00:00+0530,233401.0,233959.0,231754.0,232396.0,822
2026-08-06T19:00:00+0530,232396.0,233485.0,232305.0,232900.0,361
2026-08-06T20:00:00+0530,232900.0,233367.0,232400.0,232610.0,166
2026-08-06T21:00:00+0530,232610.0,232644.0,231559.0,232050.0,435
2026-08-06T22:00:00+0530,232050.0,232800.0,232010.0,232643.0,312
2026-08-06T23:00:00+0530,232643.0,232999.0,232505.0,232860.0,119
