datetime,open,high,low,close,volume
2026-08-03T09:15:00+0530,225534.0,225624.0,225473.0,225624.0,47
2026-08-03T09:30:00+0530,225624.0,226010.0,225624.0,225777.0,79
2026-08-03T09:45:00+0530,225777.0,226050.0,225777.0,226050.0,48
2026-08-03T10:00:00+0530,226050.0,226436.0,226050.0,226319.0,85
2026-08-03T10:15:00+0530,226319.0,226641.0,226001.0,226011.0,100
2026-08-03T10:30:00+0530,226011.0,226011.0,225501.0,225598.0,90
2026-08-03T10:45:00+0530,225598.0,225800.0,225416.0,225645.0,109
2026-08-03T11:00:00+0530,225645.0,225645.0,224800.0,225252.0,173
2026-08-03T11:15:00+0530,225252.0,225642.0,225111.0,225642.0,56
2026-08-03T11:30:00+0530,225642.0,225704.0,225395.0,225562.0,69
2026-08-03T11:45:00+0530,225562.0,226326.0,225520.0,225775.0,48
2026-08-03T12:00:00+0530,225775.0,225867.0,225549.0,225549.0,69
2026-08-03T12:15:00+0530,225549.0,225602.0,225430.0,225430.0,24
2026-08-03T12:30:00+0530,225430.0,225489.0,225200.0,225411.0,24
2026-08-03T12:45:00+0530,225411.0,225411.0,224900.0,225314.0,55
2026-08-03T13:00:00+0530,225314.0,225739.0,225202.0,225641.0,30
2026-08-03T13:15:00+0530,225641.0,225800.0,225600.0,225600.0,41
2026-08-03T13:30:00+0530,225600.0,225661.0,225445.0,225527.0,16
2026-08-03T13:45:00+0530,225527.0,225527.0,225400.0,225417.0,11
2026-08-03T14:00:00+0530,225417.0,225784.0,225400.0,225700.0,19
2026-08-03T14:15:00+0530,225700.0,226098.0,225662.0,225846.0,90
2026-08-03T14:30:00+0530,225846.0,226000.0,225843.0,225928.0,43
2026-08-03T14:45:00+0530,225928.0,225999.0,225515.0,225555.0,33
2026-08-03T15:00:00+0530,225555.0,225757.0,225335.0,225757.0,58
2026-08-03T15:15:00+0530,225757.0,225894.0,225756.0,225761.0,25
2026-08-03T15:30:00+0530,225761.0,225855.0,225592.0,225756.0,19
2026-08-03T15:45:00+0530,225756.0,225850.0,225539.0,225660.0,27
2026-08-03T16:00:00+0530,225660.0,225670.0,225400.0,225469.0,31
2026-08-03T16:15:00+0530,225469.0,225469.0,225202.0,225288.0,47
2026-08-03T16:30:00+0530,225288.0,225442.0,225250.0,225430.0,35
2026-08-03T16:45:00+0530,225430.0,225450.0,225133.0,225430.0,50
2026-08-03T17:00:00+0530,225430.0,225430.0,225013.0,225235.0,71
2026-08-03T17:15:00+0530,225235.0,225643.0,225200.0,225527.0,30
2026-08-03T17:30:00+0530,225527.0,225527.0,225025.0,225025.0,19
2026-08-03T17:45:00+0530,225025.0,225244.0,224589.0,224606.0,102
2026-08-03T18:00:00+0530,224606.0,224606.0,224110.0,224170.0,159
2026-08-03T18:15:00+0530,224170.0,224448.0,224007.0,224118.0,93
2026-08-03T18:30:00+0530,224118.0,224454.0,222390.0,222597.0,724
2026-08-03T18:45:00+0530,222597.0,222795.0,222025.0,222441.0,425
2026-08-03T19:00:00+0530,222441.0,223240.0,222053.0,223060.0,247
2026-08-03T19:15:00+0530,223060.0,223439.0,222847.0,223397.0,129
2026-08-03T19:30:00+0530,223298.0,223405.0,222990.0,223400.0,180
2026-08-03T19:45:00+0530,223400.0,223500.0,223006.0,223126.0,68
2026-08-03T20:00:00+0530,223126.0,223334.0,222850.0,223250.0,116
2026-08-03T20:15:00+0530,223250.0,223500.0,223150.0,223400.0,112
2026-08-03T20:30:00+0530,223400.0,223804.0,223252.0,223552.0,114
2026-08-03T20:45:00+0530,223552.0,223749.0,223188.0,223255.0,75
2026-08-03T21:00:00+0530,223255.0,223651.0,223255.0,223651.0,36
2026-08-03T21:15:00+0530,223651.0,223865.0,223438.0,223438.0,69
2026-08-03T21:30:00+0530,223438.0,223539.0,223403.0,223491.0,31
2026-08-03T21:45:00+0530,223491.0,223742.0,223451.0,223700.0,28
2026-08-03T22:00:00+0530,223700.0,224117.0,223700.0,223838.0,150
2026-08-03T22:15:00+0530,223838.0,224178.0,223711.0,223962.0,58
2026-08-03T22:30:00+0530,223962.0,223987.0,223691.0,223841.0,37
2026-08-03T22:45:00+0530,223841.0,224131.0,223841.0,223994.0,33
2026-08-03T23:00:00+0530,223994.0,224080.0,223891.0,224066.0,52
2026-08-03T23:15:00+0530,224066.0,224104.0,223845.0,223859.0,66
2026-08-04T09:00:00+0530,227319.0,227319.0,225501.0,225680.0,669
2026-08-04T09:15:00+0530,225680.0,226040.0,225680.0,225842.0,221
2026-08-04T09:30:00+0530,225842.0,226075.0,225797.0,225945.0,78
2026-08-04T09:45:00+0530,225949.0,226171.0,225784.0,226171.0,124
2026-08-04T10:00:00+0530,226171.0,226450.0,226171.0,226315.0,148
2026-08-04T10:15:00+0530,226315.0,226543.0,226240.0,226327.0,223
2026-08-04T10:30:00+0530,226327.0,226350.0,225801.0,225931.0,90
2026-08-04T10:45:00+0530,225931.0,226492.0,225900.0,226423.0,123
2026-08-04T11:00:00+0530,226423.0,226650.0,226151.0,226383.0,112
2026-08-04T11:15:00+0530,226383.0,226596.0,226328.0,226505.0,38
2026-08-04T11:30:00+0530,226505.0,226999.0,226505.0,226779.0,158
2026-08-04T11:45:00+0530,226779.0,226779.0,226444.0,226444.0,91
2026-08-04T12:00:00+0530,226444.0,226444.0,226050.0,226237.0,58
2026-08-04T12:15:00+0530,226237.0,226332.0,226170.0,226332.0,26
2026-08-04T12:30:00+0530,226332.0,226565.0,226332.0,226386.0,47
2026-08-04T12:45:00+0530,226386.0,226529.0,226386.0,226473.0,30
2026-08-04T13:00:00+0530,226473.0,226544.0,226325.0,226325.0,19
2026-08-04T13:15:00+0530,226325.0,226430.0,226325.0,226430.0,5
2026-08-04T13:30:00+0530,226430.0,226689.0,226430.0,226600.0,38
2026-08-04T13:45:00+0530,226600.0,226658.0,226301.0,226334.0,26
2026-08-04T14:00:00+0530,226334.0,226368.0,226106.0,226168.0,57
2026-08-04T14:15:00+0530,226168.0,226200.0,226000.0,226000.0,41
2026-08-04T14:30:00+0530,226000.0,226011.0,225475.0,225600.0,130
2026-08-04T14:45:00+0530,225600.0,226199.0,225600.0,226194.0,48
2026-08-04T15:00:00+0530,226194.0,226212.0,225912.0,226101.0,44
2026-08-04T15:15:00+0530,226101.0,226101.0,225816.0,225816.0,33
2026-08-04T15:30:00+0530,225816.0,226003.0,225816.0,226003.0,13
