datetime,open,high,low,close,volume
2026-08-03T10:00:00+0530,143910.0,144053.0,143647.0,143785.0,532
2026-08-03T11:00:00+0530,143785.0,144000.0,143735.0,143971.0,611
2026-08-03T12:00:00+0530,143971.0,144100.0,143751.0,143946.0,788
2026-08-03T13:00:00+0530,143946.0,144009.0,143742.0,143742.0,606
2026-08-03T14:00:00+0530,143742.0,143975.0,143700.0,143841.0,406
2026-08-03T15:00:00+0530,143841.0,143868.0,143637.0,143795.0,413
2026-08-03T16:00:00+0530,143795.0,143800.0,143448.0,143530.0,591
2026-08-03T17:00:00+0530,143530.0,143955.0,143530.0,143602.0,438
2026-08-03T18:00:00+0530,143602.0,143644.0,142877.0,143025.0,1547
2026-08-03T19:00:00+0530,143025.0,143144.0,142662.0,143003.0,707
2026-08-03T20:00:00+0530,143003.0,143155.0,142890.0,142960.0,551
2026-08-03T21:00:00+0530,142960.0,143149.0,142927.0,143100.0,294
2026-08-03T22:00:00+0530,143100.0,143150.0,143009.0,143062.0,177
2026-08-03T23:00:00+0530,143062.0,143101.0,142961.0,143000.0,238
2026-08-04T09:00:00+0530,143615.0,143934.0,143055.0,143699.0,748
2026-08-04T10:00:00+0530,143699.0,143858.0,143601.0,143750.0,492
2026-08-04T11:00:00+0530,143750.0,143928.0,143750.0,143836.0,613
2026-08-04T12:00:00+0530,143836.0,143945.0,143713.0,143860.0,617
2026-08-04T13:00:00+0530,143860.0,144098.0,143833.0,143861.0,661
2026-08-04T14:00:00+0530,143861.0,143914.0,143531.0,143610.0,414
2026-08-04T15:00:00+0530,143610.0,143650.0,143491.0,143549.0,292
2026-08-04T16:00:00+0530,143549.0,143890.0,143517.0,143863.0,344
2026-08-04T17:00:00+0530,143863.0,144425.0,143815.0,144048.0,1118
2026-08-04T18:00:00+0530,144048.0,144456.0,143852.0,144152.0,944
2026-08-04T19:00:00+0530,144152.0,144391.0,144092.0,144243.0,592
2026-08-04T20:00:00+0530,144243.0,144293.0,144056.0,144149.0,538
2026-08-04T21:00:00+0530,144149.0,144344.0,144077.0,144300.0,369
2026-08-04T22:00:00+0530,144300.0,144686.0,144247.0,144460.0,828
2026-08-04T23:00:00+0530,144460.0,144460.0,144231.0,144296.0,298
2026-08-05T09:00:00+0530,145021.0,146500.0,144628.0,145341.0,1824
2026-08-05T10:00:00+0530,145341.0,145550.0,145314.0,145484.0,357
2026-08-05T11:00:00+0530,145484.0,146528.0,145484.0,146399.0,3006
2026-08-05T12:00:00+0530,146399.0,146671.0,146252.0,146254.0,1083
2026-08-05T13:00:00+0530,146254.0,146455.0,146123.0,146155.0,448
2026-08-05T14:00:00+0530,146155.0,146437.0,146130.0,146199.0,433
2026-08-05T15:00:00+0530,146199.0,146283.0,145834.0,146111.0,608
2026-08-05T16:00:00+0530,146111.0,146739.0,146034.0,146613.0,647
2026-08-05T17:00:00+0530,146613.0,147539.0,146550.0,147250.0,2160
2026-08-05T18:00:00+0530,147250.0,147355.0,146778.0,147150.0,1027
2026-08-05T19:00:00+0530,147144.0,148200.0,146850.0,148099.0,2151
2026-08-05T20:00:00+0530,148099.0,148792.0,147909.0,148513.0,1919
2026-08-05T21:00:00+0530,148513.0,148602.0,147800.0,148258.0,1014
2026-08-05T22:00:00+0530,148258.0,148395.0,148112.0,148206.0,397
2026-08-05T23:00:00+0530,148206.0,148575.0,148192.0,148555.0,546
2026-08-06T09:00:00+0530,148847.0,149442.0,148808.0,149047.0,1890
2026-08-06T10:00:00+0530,149082.0,149430.0,149082.0,149120.0,718
2026-08-06T11:00:00+0530,149092.0,149592.0,148843.0,149200.0,1000
2026-08-06T12:00:00+0530,149200.0,149361.0,148949.0,149300.0,358
2026-08-06T13:00:00+0530,149300.0,149520.0,149030.0,149400.0,491
2026-08-06T14:00:00+0530,149400.0,149924.0,149300.0,149880.0,798
2026-08-06T15:00:00+0530,149880.0,149890.0,149450.0,149594.0,425
2026-08-06T16:00:00+0530,149594.0,149600.0,149312.0,149413.0,307
2026-08-06T17:00:00+0530,149413.0,149478.0,149050.0,149222.0,507
2026-08-06T18:00:00+0530,149222.0,149492.0,148056.0,148526.0,1408
2026-08-06T19:00:00+0530,148526.0,149572.0,148526.0,149318.0,1413
2026-08-06T20:00:00+0530,149318.0,149500.0,148846.0,149007.0,583
2026-08-06T21:00:00+0530,149007.0,149007.0,148111.0,148370.0,1330
2026-08-06T22:00:00+0530,148370.0,148763.0,148368.0,148536.0,493
2026-08-06T23:00:00+0530,148536.0,148864.0,148445.0,148793.0,585
2026-08-07T09:00:00+0530,148958.0,149606.0,148958.0,149506.0,1073
2026-08-07T10:00:00+0530,149506.0,149635.0,149359.0,149472.0,463
2026-08-07T11:00:00+0530,149472.0,150200.0,149472.0,149943.0,1027
2026-08-07T12:00:00+0530,149943.0,150349.0,149841.0,150050.0,813
2026-08-07T13:00:00+0530,150050.0,150641.0,150018.0,150450.0,798
2026-08-07T14:00:00+0530,150450.0,150945.0,150406.0,150752.0,1149
2026-08-07T15:00:00+0530,150752.0,151119.0,150675.0,150918.0,1011
2026-08-07T16:00:00+0530,150918.0,151170.0,150755.0,151014.0,824
2026-08-07T17:00:00+0530,151014.0,151098.0,150463.0,150513.0,1002
2026-08-07T18:00:00+0530,150513.0,152350.0,150513.0,152023.0,5023
2026-08-07T19:00:00+0530,152023.0,152236.0,151210.0,151701.0,1637
2026-08-07T20:00:00+0530,151786.0,152006.0,151556.0,151860.0,753
2026-08-07T21:00:00+0530,151860.0,151977.0,151564.0,151616.0,530
2026-08-07T22:00:00+0530,151616.0,151745.0,151437.0,151724.0,401
2026-08-07T23:00:00+0530,151724.0,151849.0,151526.0,151790.0,504
2026-08-10T09:00:00+0530,151091.0,152233.0,151091.0,152100.0,2073
2026-08-10T10:00:00+0530,152100.0,152250.0,151998.0,152050.0,840
2026-08-10T11:00:00+0530,152050.0,152749.0,152033.0,152650.0,1006
2026-08-10T12:00:00+0530,152635.0,152960.0,152565.0,152892.0,760
2026-08-10T13:00:00+0530,152892.0,152950.0,152600.0,152783.0,552
2026-08-10T14:00:00+0530,152783.0,152835.0,152301.0,152437.0,540
2026-08-10T15:00:00+0530,152437.0,152495.0,152184.0,152487.0,453
2026-08-10T16:00:00+0530,152487.0,152487.0,151805.0,152205.0,776
