trade_id,strategy_id,metal,contract,side,entry_signal_id,entry_signal_timestamp,entry_signal_bar_ohlc,entry_trigger_price,entry_execution_timestamp,entry_execution_price,entry_execution_bar_ohlc,stop_loss,exit_signal_id,exit_signal_timestamp,exit_type,exit_reason,exit_execution_timestamp,exit_execution_price,exit_bar_ohlc,gross_pnl,fees,net_pnl,duration,status
TRD-silver_01-000001,silver_01,SILVERM,483080 Nov,SHORT,SIG-silver_01-000026,2026-09-02T11:10:00,"{""open"": 239006.53, ""high"": 239042.62, ""low"": 238955.93, ""close"": 238960.83}",238955.93,2026-09-02 11:15:00,238952.97,"{""open"": 238952.97, ""high"": 238965.96, ""low"": 238926.04, ""close"": 238959.87}",239042.62,,,EXIT_SHORT,STOP_LOSS,2026-09-02T11:45:00,239061.18,"{""open"": 239023.83, ""high"": 239078.63, ""low"": 238984.3, ""close"": 239061.18}",-541.0499999999593,242.82,-783.8699999999592,1800.0,CLOSED
TRD-silver_01-000002,silver_01,SILVERM,483080 Nov,SHORT,SIG-silver_01-000102,2026-09-02T17:30:00,"{""open"": 239261.98, ""high"": 239284.01, ""low"": 239180.47, ""close"": 239192.28}",239180.47,2026-09-02 17:35:00,239188.48,"{""open"": 239188.48, ""high"": 239200.02, ""low"": 239130.57, ""close"": 239165.48}",239323.69,SIG-silver_01-000297,2026-09-03T19:15:00,EXIT_SHORT,REVERSAL,2026-09-03T19:20:00,238650.88,"{""open"": 238650.88, ""high"": 238693.05, ""low"": 238622.38, ""close"": 238674.41}",2688.000000000029,242.91,2445.0900000000292,92700.0,CLOSED
TRD-silver_01-000003,silver_01,SILVERM,483080 Nov,LONG,SIG-silver_01-000297,2026-09-03T19:15:00,"{""open"": 238614.81, ""high"": 238659.85, ""low"": 238578.64, ""close"": 238637.27}",238659.85,2026-09-03 19:20:00,238650.88,"{""open"": 238650.88, ""high"": 238693.05, ""low"": 238622.38, ""close"": 238674.41}",238574.25,SIG-silver_01-000337,2026-09-03T22:35:00,EXIT_LONG,REVERSAL,2026-09-03T22:40:00,238717.22,"{""open"": 238717.22, ""high"": 238727.4, ""low"": 238659.65, ""close"": 238690.24}",331.69999999998254,242.6,89.09999999998254,12000.0,CLOSED
TRD-silver_01-000004,silver_01,SILVERM,483080 Nov,SHORT,SIG-silver_01-000337,2026-09-03T22:35:00,"{""open"": 238742.05, ""high"": 238769.04, ""low"": 238695.31, ""close"": 238731.73}",238695.31,2026-09-03 22:40:00,238717.22,"{""open"": 238717.22, ""high"": 238727.4, ""low"": 238659.65, ""close"": 238690.24}",238843.04,,,EXIT_SHORT,STOP_LOSS,2026-09-04T09:10:00,238855.07,"{""open"": 238828.64, ""high"": 238880.05, ""low"": 238788.77, ""close"": 238855.07}",-689.2500000000291,242.64,-931.8900000000291,37800.0,CLOSED
TRD-silver_01-000005,silver_01,SILVERM,483080 Nov,SHORT,SIG-silver_01-000403,2026-09-04T13:35:00,"{""open"": 238782.34, ""high"": 238794.45, ""low"": 238716.91, ""close"": 238747.52}",238716.91,2026-09-04 13:45:00,238728.15,"{""open"": 238728.15, ""high"": 238736.53, ""low"": 238683.26, ""close"": 238701.39}",238869.26,SIG-silver_01-000461,2026-09-04T18:25:00,EXIT_SHORT,REVERSAL,2026-09-04T18:30:00,238750.19,"{""open"": 238750.19, ""high"": 238772.74, ""low"": 238720.08, ""close"": 238729.64}",-110.20000000004075,242.63,-352.83000000004074,17100.0,CLOSED
TRD-silver_01-000006,silver_01,SILVERM,483080 Nov,LONG,SIG-silver_01-000463,2026-09-04T18:35:00,"{""open"": 238713.59, ""high"": 238789.91, ""low"": 238685.11, ""close"": 238774.49}",238789.91,2026-09-04 18:40:00,238758.28,"{""open"": 238758.28, ""high"": 238800.94, ""low"": 238724.23, ""close"": 238786.03}",238685.11,,,EXIT_LONG,STOP_LOSS,2026-09-04T18:50:00,238689.81,"{""open"": 238740.73, ""high"": 238746.88, ""low"": 238676.05, ""close"": 238689.81}",-342.3500000000058,242.6,-584.9500000000058,600.0,CLOSED
TRD-silver_01-000007,silver_01,SILVERM,483080 Nov,LONG,SIG-silver_01-000469,2026-09-04T19:05:00,"{""open"": 238727.61, ""high"": 238780.64, ""low"": 238704.95, ""close"": 238764.49}",238780.64,2026-09-04 19:10:00,238760.31,"{""open"": 238760.31, ""high"": 238800.54, ""low"": 238735.79, ""close"": 238765.16}",238704.95,,,EXIT_LONG,STOP_LOSS,2026-09-04T19:40:00,238705.56,"{""open"": 238794.1, ""high"": 238808.0, ""low"": 238696.71, ""close"": 238705.56}",-273.75,242.61,-516.36,1800.0,CLOSED
TRD-silver_01-000008,silver_01,SILVERM,483080 Nov,LONG,SIG-silver_01-000478,2026-09-04T19:50:00,"{""open"": 238737.64, ""high"": 238814.35, ""low"": 238724.06, ""close"": 238781.58}",238814.35,2026-09-04 19:55:00,238801.68,"{""open"": 238801.68, ""high"": 238855.1, ""low"": 238788.29, ""close"": 238821.12}",238685.94,,,,,,,,,,,,OPEN
