strategy_id,trade_id,position_id,side,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,exit_reason,status,net_pnl,gross_pnl,entry_signal_id,exit_signal_id,entry_sig_persisted,entry_sig_side,entry_sig_ts,entry_sig_type,sl_is_new_signal,reversal_reuse_expected
gold_01,63857ab2-6f92-4b26-be19-611feb45cd30,,SHORT,2026-09-02T04:10:00+00:00,77986.51,2026-09-02T05:40:00+00:00,77996.23,1,STOP_LOSS,CLOSED,-272.08000000001164,-97.20000000001164,d8de1969-0d5c-470e-8dc8-4fa3b3489be3,,True,SHORT,1788321600.0,entry,False,False
gold_02,dd08c74c-371e-406c-afb4-29dc2f306e39,,SHORT,2026-09-02T04:15:00+00:00,77987.26,2026-09-02T05:45:00+00:00,78004.77,1,STOP_LOSS,CLOSED,-349.9900000000931,-175.10000000009313,970da21b-bf27-4fa5-a817-4c7eb0448734,,True,SHORT,1788320700.0,entry,False,False
silver_01,b63bba2a-df5a-4cf5-9476-dbe3250b94d0,,SHORT,2026-09-02T05:15:00+00:00,238950.97,2026-09-02T05:30:00+00:00,239145.21,1,STOP_LOSS,CLOSED,-1214.0399999999534,-971.1999999999534,59b05d44-88e6-4196-bb0c-6cb64f375e86,,True,SHORT,1788319800.0,entry,False,False
silver_02,9c1aee62-f788-411b-9963-8c336a3f5ebe,,SHORT,2026-09-02T05:20:00+00:00,238929.35,2026-09-02T05:30:00+00:00,239145.21,1,STOP_LOSS,CLOSED,-1322.11999999993,-1079.2999999999302,4bed824e-ea9b-4e69-ac32-ba8c25ab7916,,True,SHORT,1788321600.0,entry,False,False
silver_02,8452f406-e624-4443-aef4-6c4b1bf619d2,,SHORT,2026-09-02T05:45:00+00:00,238912.05,2026-09-02T06:15:00+00:00,239145.21,1,STOP_LOSS,CLOSED,-1408.6100000000174,-1165.8000000000175,f1bc7110-c1c9-4b0b-900d-71318c1e0c60,,True,SHORT,1788327300.0,entry,False,False
gold_01,301914d0-1bd5-41c7-a326-31c62ea64f64,,SHORT,2026-09-02T06:25:00+00:00,77988.98,2026-09-02T06:30:00+00:00,78006.96,1,STOP_LOSS,CLOSED,-354.69000000010476,-179.80000000010477,509c62ef-5b3c-420d-a353-ce5bff3476d9,,True,SHORT,1788329700.0,entry,False,False
gold_01,56a91ba5-19ab-4608-a788-23dd667729af,,SHORT,2026-09-02T11:55:00+00:00,78004.77,2026-09-02T12:30:00+00:00,78024.09,1,STOP_LOSS,CLOSED,-368.1199999999243,-193.19999999992433,d236bcbb-fbd4-492c-b6b0-6977a56eebd6,,True,SHORT,1788349500.0,entry,False,False
gold_02,5b315a7e-376f-4020-9418-204cd270a2e4,,SHORT,2026-09-02T12:00:00+00:00,78003.26,2026-09-02T12:30:00+00:00,78024.09,1,STOP_LOSS,CLOSED,-383.21000000001743,-208.30000000001746,1f8cc65b-64e6-4687-a33c-7284d9cfeb95,,True,SHORT,1788348600.0,entry,False,False
silver_02,4238a504-c891-4e7c-a7a1-e385441f83cd,,SHORT,2026-09-02T12:05:00+00:00,239165.48,2026-09-02T16:35:00+00:00,238958.55,1,long_reversal,CLOSED,791.7000000001105,1034.6500000001106,d5c4be1c-21cb-43c3-8c6a-03082c499cd9,7f1f722b-671f-45ef-bbee-ed6aef8ba974,True,SHORT,1788350100.0,entry,False,True
silver_01,cf1f5a49-0b3b-46a5-82f5-2cf81440c4f2,,SHORT,2026-09-02T12:15:00+00:00,238972.91,2026-09-03T14:00:00+00:00,238911.98,1,long_reversal,CLOSED,61.83999999996507,304.6499999999651,89ed9ac4-370a-479b-bf24-e9cf3a514466,445d8ca9-57a9-4201-b509-c2a9b6504938,True,SHORT,1788349500.0,entry,False,True
